"rules","support","confidence","coverage","lift","count"
"{default=no,poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0209527046712635,0.6715953307393,0.031198407303098,5.96156648329532,863
"{default=no,poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0209527046712635,0.6715953307393,0.031198407303098,5.96156648329532,863
"{default=no,poutcome=success,emp.var.rate=[-3.4,-0.1),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0209527046712635,0.6715953307393,0.031198407303098,5.96156648329532,863
"{default=no,poutcome=success,emp.var.rate=[-3.4,-0.1),euribor3m=[0.634,4.02)} => {y=yes}",0.0209527046712635,0.6715953307393,0.031198407303098,5.96156648329532,863
"{default=no,previous=[0,7],poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0209527046712635,0.6715953307393,0.031198407303098,5.96156648329532,863
"{default=no,pdays=[0,999],poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0209527046712635,0.6715953307393,0.031198407303098,5.96156648329532,863
"{default=no,poutcome=success,euribor3m=[0.634,4.02),nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0209527046712635,0.6715953307393,0.031198407303098,5.96156648329532,863
"{default=no,previous=[0,7],poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0209527046712635,0.6715953307393,0.031198407303098,5.96156648329532,863
"{default=no,pdays=[0,999],poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0209527046712635,0.6715953307393,0.031198407303098,5.96156648329532,863
"{default=no,previous=[0,7],poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0209527046712635,0.6715953307393,0.031198407303098,5.96156648329532,863
"{default=no,pdays=[0,999],poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0209527046712635,0.6715953307393,0.031198407303098,5.96156648329532,863
"{marital=married,default=no,poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.010852675536564,0.671171171171171,0.0161697581819948,5.95780133581858,447
"{marital=married,default=no,poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.010852675536564,0.671171171171171,0.0161697581819948,5.95780133581858,447
"{marital=married,default=no,poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.010852675536564,0.671171171171171,0.0161697581819948,5.95780133581858,447
"{default=no,housing=yes,poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0115567641060503,0.670422535211268,0.0172380304943187,5.95115590092278,476
"{default=no,housing=yes,poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0115567641060503,0.670422535211268,0.0172380304943187,5.95115590092278,476
"{default=no,housing=yes,poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0115567641060503,0.670422535211268,0.0172380304943187,5.95115590092278,476
"{default=no,loan=no,poutcome=success,emp.var.rate=[-3.4,-0.1)} => {y=yes}",0.0173108672428863,0.668228678537957,0.0259056035738565,5.93168164043564,713
"{default=no,loan=no,poutcome=success,nr.employed=[4.96e+03,5.19e+03)} => {y=yes}",0.0173108672428863,0.668228678537957,0.0259056035738565,5.93168164043564,713
"{default=no,loan=no,poutcome=success,euribor3m=[0.634,4.02)} => {y=yes}",0.0173108672428863,0.668228678537957,0.0259056035738565,5.93168164043564,713
